N/o,Data anuntului,IDNO,Denumirea,Adresa,Din,In
11,2025-01-14,1003600043126,"Societatea cu Răspundere Limitată ""SUDVINEX""","MD-2069, str. Ţarinei 107, ap.(of.) 9, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""SUDVINEX"" SRL","Societatea cu Răspundere Limitată ""SUDVINEX"""
12,2025-01-15,1002600035731,"Societatea cu Răspundere Limitată ""THE PLACE""","MD-2012, str. Maria Cibotari 37, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""JOLLY ALON""","Societatea cu Răspundere Limitată ""THE PLACE"""
13,2025-01-15,1003600074702,"Asociaţia de Proprietari din Condominiu ""A0110-0253""","MD-2026, bd. Dacia 71/2, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.51/398"" COOP","Asociaţia de Proprietari din Condominiu ""A0110- 0253"""
14,2025-01-16,1003600072993,"Asociaţia de Proprietari din Condominiu ""A0120-0262""","MD-2039, str. Doina şi Ion Aldea-Teodorovici 14/1, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/154""","Asociaţia de Proprietari din Condominiu ""A0120- 0262"""
15,2025-01-20,1021602004017,"Societatea cu Răspundere Limitată ""UNIFORMATA-JB""","MD-2005, str. Albişoara 82/8, ap.(of.) 311, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MOSANU-VJ""","Societatea cu Răspundere Limitată ""UNIFORMATA-JB"""
16,2025-01-20,1003600020950,"Societatea cu Răspundere Limitată ""VOTECH SOLUTIONS""","MD-2019, str. Ion Creangă 4, or. Codru, mun. Chişinău, Republica Moldova","FIRMA ""SAVI-AUTO"" SRL","Societatea cu Răspundere Limitată ""VOTECH SOLUTIONS"""
17,2025-01-20,1005600055620,"Brokerul de Asigurare-Reasigurare ""NOVATIKO"" Societate cu Răspundere Limitată","MD-2001, str. Bucureşti 10, mun. Chişinău, Republica Moldova","SOCIETATEA COMERCIALA ""ELICORI TUR"" S.R.L.","Brokerul de Asigurare-Reasigurare ""NOVATIKO"" Societate cu Răspundere Limitată"
18,2025-01-20,1006600018532,"Societatea cu Răspundere Limitată ""FLIGHT CONTROL SYSTEMS""","MD-2060, bd. Cuza-Vodă 11, ap.(of.) 68, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""FLIGHT CONTROL SYSTEMS"" S.R.L.","Societatea cu Răspundere Limitată ""FLIGHT CONTROL SYSTEMS"""
19,2025-01-20,1007600073161,"Societatea cu Răspundere Limitată ""SINA PHARM INVESTMENT COMPANY""","MD-2012, bd. Ştefan cel Mare şi Sfînt 126, ap.(of.) 53, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""SINA PHARM INVESTMENT COMPANY"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""SINA PHARM INVESTMENT COMPANY"""
20,2025-01-21,1022606002328,"Societatea cu Răspundere Limitată ""STEELWAY""","MD-5401, str. 27 August 18A, or. Rezina, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""METINVEST-GRUP""","Societatea cu Răspundere Limitată ""STEELWAY"""
21,2025-01-21,1003600073967,"Asociaţia de Proprietari din Condominiu ""A0140-0169""","MD-2023, str. Işnovăţ 13, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.54/288"" COOP","Asociaţia de Proprietari din Condominiu ""A0140- 0169"""
22,2025-01-21,1004600062896,"Asociaţia de Proprietari din Condominiu ""A0120-0263""","MD-2039, str. Ion Creangă 43, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/474"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0263"""
23,2025-01-21,1017600031418,"Societatea cu Răspundere Limitată ""PRIMEMIX LINE""","MD-2032, str. Burebista 42, ap.(of.) 130, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TRANDA""","Societatea cu Răspundere Limitată ""PRIMEMIX LINE"""
24,2025-01-22,1018600002121,"Societatea cu Răspundere Limitată ""SKYSPIN ECO""","MD-2001, str. Ismail 92, ap.(of.) 67, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""IB BENEFIC""","Societatea cu Răspundere Limitată ""SKYSPIN ECO"""
25,2025-01-23,1002600009437,"Societatea cu Răspundere Limitată ""BLAV-MOLD""","MD-2005, str. Albişoara 80/8, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""BLAV-MOLD"" S.R.L.","Societatea cu Răspundere Limitată ""BLAV- MOLD"""
26,2025-01-23,1002600044621,"Societatea cu Răspundere Limitată ""MONSATO""","MD-2038, str. Nicolai Zelinski 36/8, ap.(of.) 23, mun. Chişinău, Republica Moldova","SOCIETATEA PE ACTIUNI ""MONSATO""","Societatea cu Răspundere Limitată ""MONSATO"""
27,2025-01-23,1012607000146,"Instituţia Publică ""CENTRUL DE PRESTARE A SERVICIILOR SOCIALE, MUN. SOROCA""","MD-3001, str. Independenţei 79, mun. Soroca, r-l Soroca, Republica Moldova","INSTITUTIA PUBLICA CENTRUL MULTIFUNCTIONAL DE SERVICII SOCIALE ""O SANSA""","Instituţia Publică ""CENTRUL DE PRESTARE A SERVICIILOR SOCIALE, MUN. SOROCA"""
28,2025-01-24,1011600021552,"Societatea cu Răspundere Limitată ""VITAL HEALING""","MD-6828, s. Ţipala, r-l Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AGROUTIL GRUP""","Societatea cu Răspundere Limitată ""VITAL HEALING"""
29,2025-01-24,1003600041096,"Societatea cu Răspundere Limitată ""CLEAN STORE""","MD-2064, str. Doina şi Ion Aldea-Teodorovici 17, ap.(of.) 10, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SERVICETEHNO""","Societatea cu Răspundere Limitată ""CLEAN STORE"""
30,2025-01-24,1024600066070,"Societatea cu Răspundere Limitată ""GBM GROUP""","MD-2025, str. Nicolae Testemiţanu 3/19, ap.(of.) 19, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BGKARAFACTORY""","Societatea cu Răspundere Limitată ""GBM GROUP"""
31,2025-01-24,1018600011723,"Societatea cu Răspundere Limitată ""TRANSCENDENCE PATH""","MD-2011, str. Costiujeni 3/15, ap.(of.) 17, or. Codru, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""VLAD-ROBERT""","Societatea cu Răspundere Limitată ""TRANSCENDENCE PATH"""
32,2025-01-27,1024600041361,"Societatea cu Răspundere Limitată ""SV CARGO""","MD-2062, bd. Dacia 49/14, ap.(of.) 69, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""VILSON PRO""","Societatea cu Răspundere Limitată ""SV CARGO"""
33,2025-01-28,1021607000829,"Societatea cu Răspundere Limitată ""PRO ELECTRICA""","MD-5201, str. Eternităţii 18, or. Drochia, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PRO ELECTRICA VG""","Societatea cu Răspundere Limitată ""PRO ELECTRICA"""
34,2025-01-28,1003600150716,"INSTITUTIA MEDICO-SANITARĂ PUBLICĂ ""SPITALUL CLINIC DE RECUPERARE SI ÎNGRIJIRI CRONICE""","MD-2005, str. Alexandr Puşkin 51, mun. Chişinău, Republica Moldova","INSTITUTIA MEDICO-SANITARA PUBLICA ""SPITALUL CLINIC AL MINISTERULUI SANATATII""","INSTITUTIA MEDICO-SANITARĂ PUBLICĂ ""SPITALUL CLINIC DE RECUPERARE SI ÎNGRIJIRI CRONICE"""
35,2025-01-28,1024600015218,"Societatea cu Răspundere Limitată ""NICOLCONSTRUCT-V.N.G.""","MD-2051, str. Suceviţa 22/1, ap.(of.) 14, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""NICOLA VREMES""","Societatea cu Răspundere Limitată ""NICOLCONSTRUCT-V.N.G."""
36,2025-01-29,1002600032073,"Societatea cu Răspundere Limitată ""S.C. SCHENKER""","MD-2012, str. Mihai Eminescu 40, ap.(of.) 14, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""S.C. SCHENKER"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""S.C. SCHENKER"""
37,2025-01-29,1003600075846,"Asociaţia de Proprietari din Condominiu ""A0120-0264""","MD-2008, str. Eugen Coca 17, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/181"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0264"""
38,2025-01-29,1016600009573,"Societatea cu Răspundere Limitată ""CROWE""","MD-2001, str. Mihail Kogălniceanu 17/3, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""OPORTUNITATE""","Societatea cu Răspundere Limitată ""CROWE"""
39,2025-01-30,1020600029297,"Societatea cu Răspundere Limitată ""VION PLANT""","MD-4834, s. Paşcani, r-l Criuleni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CORYLUS COLURNA""","Societatea cu Răspundere Limitată ""VION PLANT"""
40,2025-01-30,1021600018827,"Societatea cu Răspundere Limitată ""CODE HUB""","MD-2051, str. Onisifor Ghibu 7/4, ap.(of.) 16, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""UMO GLOBAL""","Societatea cu Răspundere Limitată ""CODE HUB"""
41,2025-01-30,1024600076451,"Societatea cu Răspundere Limitată ""ACLASS PRIM""","MD-2002, sos. Munceşti 280/3, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""EMBABE GLOBAL""","Societatea cu Răspundere Limitată ""ACLASS PRIM"""
42,2025-01-31,1003600069913,"Asociaţia de Proprietari din Condominiu ""A0110-0254""","MD-2038, bd. Dacia 11, mun. Chişinău, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""NR.78""","Asociaţia de Proprietari din Condominiu ""A0110- 0254"""
43,2025-02-03,1003600072029,"Asociaţia de Proprietari din Condominiu ""A0120-0266""","MD-2008, str. Buiucani 6, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/245""","Asociaţia de Proprietari din Condominiu ""A0120- 0266"""
44,2025-02-03,1008600025422,"Societatea cu Răspundere Limitată ""JOBHANT-ARTCOM.-N.T.""","MD-2071, str. Liviu Deleanu 5/Z, ap.(of.) 306, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ARTCOMERS""","Societatea cu Răspundere Limitată ""JOBHANT- ARTCOM.-N.T."""
45,2025-02-04,1020600046081,"Societatea cu Răspundere Limitată ""TRILINE TRANS""","MD-2008, str. Vasile Lupu 42/Ş, ap.(of.) 4A, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""VRAB TRANS&CO""","Societatea cu Răspundere Limitată ""TRILINE TRANS"""
46,2025-02-04,1022600026005,"Societatea cu Răspundere Limitată ""FMD FINCARE""","MD-4839, str. Ilie Fulga 3, or. Stăuceni, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TAB CONSULT""","Societatea cu Răspundere Limitată ""FMD FINCARE"""
47,2025-02-04,1003600069256,"Asociaţia de Proprietari din Condominiu ""A0120-0265""","MD-2008, str. Eugen Coca 5, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/232""","Asociaţia de Proprietari din Condominiu ""A0120- 0265"""
48,2025-02-04,1005600016298,"Asociaţia de Proprietari din Condominiu ""A0120-0267""","MD-2008, str. Vasile Lupu 6, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/201""","Asociaţia de Proprietari din Condominiu ""A0120- 0267"""
49,2025-02-04,1016600028671,"Societatea cu Răspundere Limitată ""AXA BIO MED""","MD-2002, str. Fîntînilor 23, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BEST PROMO GROUP""","Societatea cu Răspundere Limitată ""AXA BIO MED"""
50,2025-02-06,1019600041103,"Societatea cu Răspundere Limitată ""SPEC TRANS""","MD-3023 3, s. Holoşniţa, r-l Soroca, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ALEXANDRU MARIA TRANS""","Societatea cu Răspundere Limitată ""SPEC TRANS"""
51,2025-02-07,1022600034910,"Societatea cu Răspundere Limitată ""DRUMARK""","MD-2003, str. Chimiştilor 15, ap.(of.) 41, or. Durleşti, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""DIVA VIBE""","Societatea cu Răspundere Limitată ""DRUMARK"""
52,2025-02-07,1003600080794,"Societatea cu Răspundere Limitată ""VISNOVA COMPANY""","MD-2001, bd. Ştefan cel Mare şi Sfînt 3, mun. Chişinău, Republica Moldova","SOCIETATEA COMERCIALA ""MOCHIRU"" S.R.L.","Societatea cu Răspundere Limitată ""VISNOVA COMPANY"""
53,2025-02-12,1020600029895,"Societatea cu Răspundere Limitată ""VICTORY V.D.G.""","MD-4401, s. Seliştea Nouă, r-l Călăraşi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SIGUR-AUTO-INCHIRIERI""","Societatea cu Răspundere Limitată ""VICTORY V.D.G."""
54,2025-02-12,1021600012870,"Societatea cu Răspundere Limitată ""SIA MODELS AGENCY""","MD-2023, str. Budăi 23, ap.(of.) 2, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""UNICORN ACADEMY""","Societatea cu Răspundere Limitată ""SIA MODELS AGENCY"""
55,2025-02-12,1006600009457,"Societatea cu Răspundere Limitată ""iHECTAR""","MD-2009, str. Dîmbului 24, mun. Chişinău, Republica Moldova","SOCIETATEA COMERCIALA ""CERTIFICAT- ECO"" S.R.L.","Societatea cu Răspundere Limitată ""iHECTAR"""
56,2025-02-12,1009602004985,"Societatea cu Răspundere Limitată ""BMC-HR JOBS""","MD-2012, str. Columna 104, ap.(of.) 230, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""I- XPRESS JOBS""","Societatea cu Răspundere Limitată ""BMC-HR JOBS"""
57,2025-02-13,1020600027765,"Societatea cu Răspundere Limitată ""GREENBUILD""","MD-7731, s. Văratic, r-l Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GIVP CONS""","Societatea cu Răspundere Limitată ""GREENBUILD"""
58,2025-02-13,1002600036819,"Societatea de Investiţii ""PRO INVEST CAPITAL"" Societate pe Acţiuni","MD-2015, str. Nicolai Zelinski 7, mun. Chişinău, Republica Moldova","SOCIETATEA PE ACTIUNI ""PRO INVEST CAPITAL""","Societatea de Investiţii ""PRO INVEST CAPITAL"" Societate pe Acţiuni"
59,2025-02-13,1014603001127,"Societatea cu Răspundere Limitată ""GRAND AGRO COMPANY""","MD-7422, str. Dimitrov 33, or.Tvardiţa, r-l Taraclia, Republica Moldova","INTREPRINDEREA MIXTA ""GRAND AGRO COMPANY"" S.R.L.","Societatea cu Răspundere Limitată ""GRAND AGRO COMPANY"""
60,2025-02-13,1024600023145,"Societatea cu Răspundere Limitată ""LUXALI ESCAPE""","MD-4127, s. Sagaidac, r-l Cimişlia, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""LUXALI RETAIL PROPERTY MANAGEMENT""","Societatea cu Răspundere Limitată ""LUXALI ESCAPE"""
61,2025-02-14,1022600024643,"Societatea cu Răspundere Limitată ""LUXPREMIUM""","MD-2071, str. Liviu Deleanu 5/3, ap.(of.) 34, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TEHMASTER PRO""","Societatea cu Răspundere Limitată ""LUXPREMIUM"""
62,2025-02-14,1003600153773,"Societatea cu Răspundere Limitată ""CONTAVO-COM""","MD-4814, str. Crizantemelor 12, s. Budeşti, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""CONTAVO-COM"" S.R.L.","Societatea cu Răspundere Limitată ""CONTAVO- COM"""
63,2025-02-14,1019600058790,"Societatea cu Răspundere Limitată ""PETALE DE DOR""","MD-2011, str-la Mihai Eminescu 8, or. Codru, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ARVITCONT""","Societatea cu Răspundere Limitată ""PETALE DE DOR"""
64,2025-02-17,1016609002832,"Societatea cu Răspundere Limitată ""HYDRAULIC EXPRESS""","MD-6401, str. Păcii 1/A, or. Nisporeni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""DANIELA DRUMEA""","Societatea cu Răspundere Limitată ""HYDRAULIC EXPRESS"""
65,2025-02-18,1018600030762,"Societatea cu Răspundere Limitată ""GROMOV ESTATE COMPANY""","MD-2072, str. Independenţei 54/1, ap.(of.) 27, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TAVI SUCCESS""","Societatea cu Răspundere Limitată ""GROMOV ESTATE COMPANY"""
66,2025-02-19,1010609001017,"Asociaţia de Proprietari din Condominiu ""A2501-0011""","MD-4404, str. Călăraşilor 7, or. Călăraşi, Republica Moldova",ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE NR. 19/7 COOP.,"Asociaţia de Proprietari din Condominiu ""A2501- 0011"""
67,2025-02-19,1024611004089,"Societatea cu Răspundere Limitată ""MTL- DECOR CO""","MD-7401, str. Ukrainskaia 47, or. Taraclia, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""INTRO FACADE""","Societatea cu Răspundere Limitată ""MTL- DECOR CO"""
68,2025-02-20,1021600036021,"Societatea cu Răspundere Limitată ""DATA EDGE""","MD-2075, str. Profesor Ion Dumeniuk 18, ap.(of.) 12, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TERAFLOPSY""","Societatea cu Răspundere Limitată ""DATA EDGE"""
69,2025-02-20,1008600037106,"Societatea cu Răspundere Limitată ""AGRIMASTER SOLUTIONS""","MD-4821, s. Drăsliceni, r-l Criuleni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ULD CONSTRUCT""","Societatea cu Răspundere Limitată ""AGRIMASTER SOLUTIONS"""
70,2025-02-20,1018600031714,"Societatea cu Răspundere Limitată ""AERO SUPERFLY""","MD-2068, str. Florilor 6/2, ap.(of.) 114, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""REAL ESTATE SOLUTIONS""","Societatea cu Răspundere Limitată ""AERO SUPERFLY"""
71,2025-02-21,1002600025637,"Societatea cu Răspundere Limitată ""ATELIER FILM ŞI PUBLICITATE""","MD-2071, str. Alba-Iulia 192/2, ap.(of.) 5, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ATELIERUL LUI SERGIU PRODAN-PR SI PUBLICITATE""","Societatea cu Răspundere Limitată ""ATELIER FILM ŞI PUBLICITATE"""
72,2025-02-21,1002600039647,"Asociaţia de Proprietari din Condominiu ""A0130-0236""","MD-2019, str. Grenoble 157, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.50/157"" COOP","Asociaţia de Proprietari din Condominiu ""A0130- 0236"""
73,2025-02-21,1022600053432,"Societatea cu Răspundere Limitată ""KATERININA STUDIO""","MD-2002, sos. Munceşti 172, ap.(of.) 9, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CATDOG ZOO""","Societatea cu Răspundere Limitată ""KATERININA STUDIO"""
74,2025-02-21,1013609001904,"Instituţia Medico-Sanitară Publică ""CENTRUL DE SĂNĂTATE PITUŞCA - VĂRZĂREŞTII NOI""","MD-4432, s. Pituşca, r-l Călăraşi, Republica Moldova","INSTITUTIA MEDICO-SANITARA PUBLICA ""CENTRUL DE SANATATE VARZARESTII NOI- PITUSCA""","Instituţia Medico-Sanitară Publică ""CENTRUL DE SĂNĂTATE PITUŞCA - VĂRZĂREŞTII NOI"""
75,2025-02-21,1025600005362,"Societatea cu Răspundere Limitată ""NIKIVERSE""","MD-2012, str. Veronica Micle 9, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""NICOLETA BEZER""","Societatea cu Răspundere Limitată ""NIKIVERSE"""
76,2025-02-21,1018600046134,"Societatea cu Răspundere Limitată ""COLIBRI GRUP""","MD-2068, bd. Moscova 11/5, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MAXFITNESS""","Societatea cu Răspundere Limitată ""COLIBRI GRUP"""
77,2025-02-24,1003600019837,"Asociaţia de Proprietari din Condominiu ""A0140-0170""","MD-2044, str. Maria Drăgan 14/1, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.54/327"" COOP","Asociaţia de Proprietari din Condominiu ""A0140- 0170"""
78,2025-02-24,1023600057286,"Societatea cu Răspundere Limitată ""AMIRAGE ELEGANCE""","MD-2068, str. Miron Costin 23, ap.(of.) 29, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""RMA MANAGEMENT""","Societatea cu Răspundere Limitată ""AMIRAGE ELEGANCE"""
79,2025-02-24,1024600000614,"Societatea cu Răspundere Limitată ""SOUND CLASS MUSIC""","MD-2009, str. Alexei Mateevici 27, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SOULFUL CHORD""","Societatea cu Răspundere Limitată ""SOUND CLASS MUSIC"""
80,2025-02-24,1016600006136,"Societatea cu Răspundere Limitată ""BMONEY""","MD-2072, str. Grenoble 259/2, mun. Chişinău, Republica Moldova","ORGANIZATIA DE CREDITARE NEBANCARA ""BMONEY"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""BMONEY"""
81,2025-02-24,1016600033231,"Societatea cu Răspundere Limitată ""FIELDFLYDRONE""","MD-3200, str-la 3 Industrială 4, ap.(of.) 1, mun. Bender, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ROMANLILIA-AGRO""","Societatea cu Răspundere Limitată ""FIELDFLYDRONE"""
82,2025-02-25,1013600036068,"Societatea cu Răspundere Limitată ""FORVIS MAZARS ADVISORY""","MD-2069, str. Calea Ieşilor 8/1, ap.(of.) 9A, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CV ADVISORY""","Societatea cu Răspundere Limitată ""FORVIS MAZARS ADVISORY"""
83,2025-02-25,1005600046039,"Societatea Comercială ""AUTOMACARA- SERVICE"" S.R.L.","MD-2014, str. Sf.Gheorghe 9/1, ap.(of.) 24, mun. Chişinău, Republica Moldova","SOCIETATEA COMERCIALA ""ETS COMPANY"" S.R.L.","Societatea Comercială ""AUTOMACARA- SERVICE"" S.R.L."
84,2025-02-26,1017600034486,"Societatea cu Răspundere Limitată ""DAVID'S RENTAL LOFT""","MD-2068, str. Matei Basarab 2/1, ap.(of.) 2, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BRICK & MORTAR RENTALS""","Societatea cu Răspundere Limitată ""DAVID'S RENTAL LOFT"""
85,2025-02-27,1024607009878,"Societatea cu Răspundere Limitată ""IMIGRĂRI GRUP""","MD-2065, bd. Ştefan cel Mare şi Sfînt 65, ap.(of.) 400, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""IMIGRARE""","Societatea cu Răspundere Limitată ""IMIGRĂRI GRUP"""
86,2025-02-27,1006600033849,"Societatea cu Răspundere Limitată ""FORVIS MAZARS""","MD-2069, str. Calea Ieşilor 8/1, ap.(of.) 9a, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TAXACO""","Societatea cu Răspundere Limitată ""FORVIS MAZARS"""
